id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
97ed53b7-18ef-4f87-993a-b2dc34004f7c,Deafult project name,no experiment description,,2024-04-10 11:19:09,4.671542406082153,9.753810710825285e-09,6.1017206278031055e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
a72e216f-ab28-4023-b183-d6b413d44b07,Deafult project name,no experiment description,,2024-04-10 11:25:16,2.142910957336426,4.945336089197857e-09,3.0936687333277712e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
68304883-3ea3-449c-8691-c8769f840647,Deafult project name,no experiment description,,2024-04-10 11:25:23,1.3492352962493896,5.2611031018538306e-09,3.291204050736005e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
4dffcb16-c82f-4254-ae70-167e517ec6ef,Deafult project name,no experiment description,,2024-04-10 11:25:23,2.4781486988067627,5.424586742357012e-09,3.393475002176503e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
ef641a67-6e66-4ef7-be88-3e4baab009da,Deafult project name,no experiment description,,2024-04-10 11:25:32,1.847158432006836,4.1394374482870756e-09,2.5895203028372904e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
d5226cc5-7278-445b-bd4b-e9a69c403a11,Deafult project name,no experiment description,,2024-04-10 11:53:49,4.028445243835449,7.507582494099551e-09,4.696540903581339e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
e4b9de82-7ee7-4424-baa2-842647fcddb2,Deafult project name,no experiment description,,2024-04-10 11:54:03,4.315975904464722,8.749470167496537e-09,5.473432301091311e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
8f270a33-e4d7-473f-9cf6-06b5b93e6e33,Deafult project name,no experiment description,,2024-04-10 11:54:04,4.314306020736694,9.049931170340706e-09,5.661392592023546e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
68aa630c-47b8-4fbe-88f8-f8df715cd0f5,Deafult project name,no experiment description,,2024-04-10 11:54:28,4.268738746643066,9.452286626856053e-09,5.91309530202222e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
4ad47c8d-a83a-49e2-bb9f-103a66713b5e,Deafult project name,no experiment description,,2024-04-10 12:02:23,2.93247938156128,5.790012498891883e-09,3.622075488969292e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
fd645ca3-9318-4ee3-865c-649a8080fbbf,Deafult project name,no experiment description,,2024-04-10 12:02:29,2.36685562133789,5.022900535891494e-09,3.142190956939249e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
ab74b12f-6881-4247-8af8-c643935dce0f,Deafult project name,no experiment description,,2024-04-10 12:02:32,2.8407039642333984,5.574254527863391e-09,3.487103127759085e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
2ce29565-1285-4ecd-9c5f-fba221598e4f,Deafult project name,no experiment description,,2024-04-10 12:02:37,2.5946881771087646,5.846657587208288e-09,3.657511126802649e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
bdfd2ac9-bd4d-48a5-a4d4-bbedd98a6180,Deafult project name,no experiment description,,2024-04-18 09:06:27,6.138256072998047,1.1277334176422e-08,7.054795772746839e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
f07e156e-03f4-450c-89c9-96fd592844a1,Deafult project name,no experiment description,,2024-04-18 09:06:34,5.0316479206085205,1.1734848160074306e-08,7.341004168042164e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
0a68cb9a-2c5d-4988-8443-dda4cbd226a8,Deafult project name,no experiment description,,2024-04-18 09:06:40,5.028215408325195,1.1670669629211261e-08,7.300855811954576e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
2f12a099-6061-4f1e-bd93-4f09cb8c37b1,Deafult project name,no experiment description,,2024-04-18 09:06:46,5.626877069473267,1.1829005855190645e-08,7.399906679849176e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
6964e880-2d6e-4821-aa74-fa34149e81f7,Deafult project name,no experiment description,,2024-04-18 09:27:33,2.7694499492645264,5.561264491689145e-09,3.478976911859452e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
d7a227e7-40e4-47ea-aa37-ef2ce06636c0,Deafult project name,no experiment description,,2024-04-18 09:27:41,2.629748106002808,5.875192098154275e-09,3.675361546418664e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
